index,package_cycles,dram_cycles,package_ms,dram_ms
375,2182667,2260074,0.992121364,1.027306364
376,2200534,2198719,1.000242727,0.999417727
377,2190675,2212812,0.995761364,1.005823636
378,2105485,2218759,0.957038636,1.008526818
379,2189237,2138516,0.995107727,0.972052727
380,2163753,2217499,0.983524091,1.007954091
381,2230918,2154061,1.014053636,0.979118636
382,2237084,2161778,1.016856364,0.982626364
383,2181144,2175712,0.991429091,0.98896
384,2163972,2358233,0.983623636,1.071924091
385,2249468,2139119,1.022485455,0.972326818
386,2205963,2197758,1.002710455,0.998980909
387,2189804,2147688,0.995365455,0.976221818
388,2160822,2178173,0.982191818,0.990078636
389,2167995,2360142,0.985452273,1.072791818
390,2375693,2083503,1.079860455,0.947046818
391,2216833,2115098,1.007651364,0.961408182
392,2210314,2385938,1.004688182,1.084517273
393,2188332,2223782,0.994696364,1.01081
394,2140989,2188308,0.973176818,0.994685455
395,2251340,2213670,1.023336364,1.006213636
396,2098445,2189373,0.953838636,0.995169545
397,2172571,2177727,0.987532273,0.989875909
398,2210069,2158513,1.004576818,0.981142273
399,2198228,2296150,0.999194545,1.043704545
400,2264561,2098224,1.029345909,0.953738182
401,2266155,2167534,1.030070455,0.985242727
402,2020917,2164682,0.918598636,0.983946364
403,2386915,2246479,1.084961364,1.021126818
404,2178276,2236037,0.990125455,1.016380455
405,2199336,2163529,0.999698182,0.983422273
406,2078972,2145179,0.944987273,0.975081364
407,2209240,2244434,1.0042,1.020197273
408,2341207,2202185,1.064185,1.000993182
409,2018447,2270045,0.917475909,1.031838636
410,2345127,2133702,1.065966818,0.969864545
411,2134822,2219994,0.970373636,1.009088182
412,2160094,2197958,0.981860909,0.999071818
413,2167834,2237154,0.985379091,1.016888182
414,2242447,2286459,1.019294091,1.039299545
415,2304098,1995485,1.047317273,0.907038636
416,2080044,2382287,0.945474545,1.082857727
417,2184323,2228088,0.992874091,1.012767273
418,2194399,2060510,0.997454091,0.936595455
419,2417244,2293808,1.098747273,1.04264
420,2068723,2038596,0.940328636,0.926634545
421,2176030,2354638,0.989104545,1.07029
422,2234232,2178488,1.01556,0.990221818
423,2184336,2203487,0.99288,1.001585
424,2167522,2205498,0.985237273,1.002499091
425,2364360,2212930,1.074709091,1.005877273
426,2011073,2174237,0.914124091,0.988289545
427,2346626,2214038,1.066648182,1.006380909
428,2129154,2168933,0.967797273,0.985878636
429,2166181,2274493,0.984627727,1.033860455
430,2280474,2213346,1.036579091,1.006066364
431,2261707,2116315,1.028048636,0.961961364
432,2226627,2188496,1.012103182,0.994770909
433,2128523,2207338,0.967510455,1.003335455
434,2178221,2273182,0.990100455,1.033264545
