index,package_cycles,dram_cycles,package_ms,dram_ms
231,1686854,1517276,0.843427,0.758638
232,1915118,1727420,0.957559,0.86371
233,1729924,2566870,0.864962,1.283435
234,1758802,1614440,0.879401,0.80722
235,1569912,2521956,0.784956,1.260978
236,2701846,1659160,1.350923,0.82958
237,1548090,2387282,0.774045,1.193641
238,1956592,1562408,0.978296,0.781204
239,1650460,1670876,0.82523,0.835438
240,3226060,2607098,1.61303,1.303549
241,1650418,1712216,0.825209,0.856108
242,1641794,1550704,0.820897,0.775352
243,1638456,2624744,0.819228,1.312372
244,2513720,1575748,1.25686,0.787874
245,1673840,2714632,0.83692,1.357316
246,1640978,1421802,0.820489,0.710901
247,2763382,2754954,1.381691,1.377477
248,1463298,1709120,0.731649,0.85456
249,2618410,1627370,1.309205,0.813685
250,1622020,2462616,0.81101,1.231308
251,1473020,1644784,0.73651,0.822392
252,2792228,1732048,1.396114,0.866024
253,1552402,2703736,0.776201,1.351868
254,2689548,1539616,1.344774,0.769808
255,1703070,1487056,0.851535,0.743528
256,1568292,2874784,0.784146,1.437392
257,1647222,1316844,0.823611,0.658422
258,2984480,2911976,1.49224,1.455988
259,1496984,1976314,0.748492,0.988157
260,1567748,1449182,0.783874,0.724591
261,2614196,1641368,1.307098,0.820684
262,1557306,1723602,0.778653,0.861801
263,3248606,3007102,1.624303,1.503551
264,1842534,2091314,0.921267,1.045657
265,1667538,1378382,0.833769,0.689191
266,1850274,1678090,0.925137,0.839045
267,1507334,3130100,0.753667,1.56505
268,3009448,1881960,1.504724,0.94098
269,1724854,1622356,0.862427,0.811178
270,1885564,1562364,0.942782,0.781182
271,1792264,2001476,0.896132,1.000738
272,1893446,1734490,0.946723,0.867245
273,1914034,2648432,0.957017,1.324216
274,1559562,1690956,0.779781,0.845478
275,3064338,2531442,1.532169,1.265721
276,1641384,1724580,0.820692,0.86229
277,1721328,1533900,0.860664,0.76695
278,1523660,2828058,0.76183,1.414029
279,3087284,1655368,1.543642,0.827684
280,1534542,1481290,0.767271,0.740645
281,1640520,2480414,0.82026,1.240207
282,2849806,1493552,1.424903,0.746776
283,1267306,2665958,0.633653,1.332979
284,2695174,1753138,1.347587,0.876569
285,1491266,1536622,0.745633,0.768311
286,1543186,2732266,0.771593,1.366133
287,2945568,1737606,1.472784,0.868803
288,1851250,1560120,0.925625,0.78006
289,1552262,2779882,0.776131,1.389941
290,1896888,1695766,0.948444,0.847883
291,1585970,1595150,0.792985,0.797575
292,2799038,2689780,1.399519,1.34489
293,1494228,1776760,0.747114,0.88838
